year,award,nominee,ethnicity,movie,imgurl
1951,Actress in a Leading Role,Katharine Hepburn,caucasianAmerican,The African Queen,
1951,Actress in a Leading Role,Eleanor Parker,caucasianAmerican,Detective Story,
1951,Actress in a Leading Role,Shelley Winters,caucasianAmerican,A Place in the Sun,
1951,Actress in a Leading Role,Jane Wyman,caucasianAmerican,The Blue Veil,
1952,Actress in a Leading Role,Shirley Booth,caucasianAmerican,"Come Back, Little Sheba",
1952,Actress in a Leading Role,Joan Crawford,caucasianAmerican,Sudden Fear,
1952,Actress in a Leading Role,Bette Davis,caucasianAmerican,The Star,
1952,Actress in a Leading Role,Julie Harris,caucasianAmerican,The Member of the Wedding,
1952,Actress in a Leading Role,Susan Hayward,caucasianAmerican,With a Song in My Heart,
1953,Actress in a Leading Role,Ava Gardner,caucasianAmerican,Mogambo,
1953,Actress in a Leading Role,Maggie McNamara,caucasianAmerican,The Moon Is Blue,
1954,Actress in a Leading Role,Grace Kelly,caucasianAmerican,The Country Girl,
1954,Actress in a Leading Role,Judy Garland,caucasianAmerican,A Star Is Born,
1954,Actress in a Leading Role,Jane Wyman,caucasianAmerican,Magnificent Obsession,
1955,Actress in a Leading Role,Susan Hayward,caucasianAmerican,I'll Cry Tomorrow,
1955,Actress in a Leading Role,Katharine Hepburn,caucasianAmerican,Summertime,
1955,Actress in a Leading Role,Jennifer Jones,caucasianAmerican,Love is a Many-Splendored Thing,
1955,Actress in a Leading Role,Eleanor Parker,caucasianAmerican,Interrupted Melody,
1956,Actress in a Leading Role,Carroll Baker,caucasianAmerican,Baby Doll,
1956,Actress in a Leading Role,Katharine Hepburn,caucasianAmerican,The Rainmaker,
1956,Actress in a Leading Role,Nancy Kelly,caucasianAmerican,The Bad Seed,
1957,Actress in a Leading Role,Joanne Woodward,caucasianAmerican,The Three Faces of Eve,
1957,Actress in a Leading Role,Lana Turner,caucasianAmerican,Peyton Place,
1958,Actress in a Leading Role,Susan Hayward,caucasianAmerican,I Want to Live!,
1958,Actress in a Leading Role,Shirley MacLaine,caucasianAmerican,Some Came Running,
1958,Actress in a Leading Role,Rosalind Russell,caucasianAmerican,Auntie Mame,
1959,Actress in a Leading Role,Doris Day,caucasianAmerican,Pillow Talk,
1959,Actress in a Leading Role,Katharine Hepburn,caucasianAmerican,"Suddenly, Last Summer",
1960,Actress in a Leading Role,Shirley MacLaine,caucasianAmerican,The Apartment,
1961,Actress in a Leading Role,Piper Laurie,caucasianAmerican,The Hustler,
1961,Actress in a Leading Role,Geraldine Page,caucasianAmerican,Summer and Smoke,
1961,Actress in a Leading Role,Natalie Wood,caucasianAmerican,Splendor in the Grass,
1962,Actress in a Leading Role,Anne Bancroft,caucasianAmerican,The Miracle Worker,
1962,Actress in a Leading Role,Bette Davis,caucasianAmerican,What Ever Happened to Baby Jane?,
1962,Actress in a Leading Role,Katharine Hepburn,caucasianAmerican,Long Day's Journey into Night,
1962,Actress in a Leading Role,Geraldine Page,caucasianAmerican,Sweet Bird of Youth,
1962,Actress in a Leading Role,Lee Remick,caucasianAmerican,Days of Wine and Roses,
1963,Actress in a Leading Role,Patricia Neal,caucasianAmerican,Hud,
1963,Actress in a Leading Role,Shirley MacLaine,caucasianAmerican,Irma la Douce,
1963,Actress in a Leading Role,Natalie Wood,caucasianAmerican,Love with the Proper Stranger,
1964,Actress in a Leading Role,Anne Bancroft,caucasianAmerican,The Pumpkin Eater,
1964,Actress in a Leading Role,Debbie Reynolds,caucasianAmerican,The Unsinkable Molly Brown,
1964,Actress in a Leading Role,Kim Stanley,caucasianAmerican,Séance on a Wet Afternoon,
1965,Actress in a Leading Role,Elizabeth Hartman,caucasianAmerican,A Patch of Blue,
1967,Actress in a Leading Role,Katharine Hepburn,caucasianAmerican,Guess Who's Coming to Dinner,
1967,Actress in a Leading Role,Anne Bancroft,caucasianAmerican,The Graduate,
1967,Actress in a Leading Role,Faye Dunaway,caucasianAmerican,Bonnie and Clyde,
1968,Actress in a Leading Role,Katharine Hepburn,caucasianAmerican,The Lion in Winter,
1968,Actress in a Leading Role,Barbra Streisand,caucasianAmerican,Funny Girl,
1968,Actress in a Leading Role,Patricia Neal,caucasianAmerican,The Subject was Roses,
1968,Actress in a Leading Role,Joanne Woodward,caucasianAmerican,"Rachel, Rachel",
1969,Actress in a Leading Role,Jane Fonda,caucasianAmerican,"They Shoot Horses, Don't They?",
1969,Actress in a Leading Role,Liza Minnelli,caucasianAmerican,The Sterile Cuckoo,
1970,Actress in a Leading Role,Jane Alexander,caucasianAmerican,The Great White Hope,
1970,Actress in a Leading Role,Ali MacGraw,caucasianAmerican,Love Story,
1970,Actress in a Leading Role,Carrie Snodgress,caucasianAmerican,Diary of a Mad Housewife,
1971,Actress in a Leading Role,Jane Fonda,caucasianAmerican,Klute,
1972,Actress in a Leading Role,Liza Minnelli,caucasianAmerican,Cabaret,
1973,Actress in a Leading Role,Ellen Burstyn,caucasianAmerican,The Exorcist,
1973,Actress in a Leading Role,Marsha Mason,caucasianAmerican,Cinderella Liberty,
1973,Actress in a Leading Role,Barbra Streisand,caucasianAmerican,The Way We Were,
1973,Actress in a Leading Role,Joanne Woodward,caucasianAmerican,"Summer Wishes, Winter Dreams",
1974,Actress in a Leading Role,Ellen Burstyn,caucasianAmerican,Alice Doesn't Live Here Anymore,
1974,Actress in a Leading Role,Faye Dunaway,caucasianAmerican,Chinatown,
1974,Actress in a Leading Role,Valerie Perrine,caucasianAmerican,Lenny,
1974,Actress in a Leading Role,Gena Rowlands,caucasianAmerican,A Woman Under the Influence,
1975,Actress in a Leading Role,Louise Fletcher,caucasianAmerican,One Flew Over the Cuckoo's Nest,
1975,Actress in a Leading Role,Carol Kane,caucasianAmerican,Hester Street,
1976,Actress in a Leading Role,Faye Dunaway,caucasianAmerican,Network,
1976,Actress in a Leading Role,Talia Shire,caucasianAmerican,Rocky,
1976,Actress in a Leading Role,Sissy Spacek,caucasianAmerican,Carrie,
1977,Actress in a Leading Role,Diane Keaton,caucasianAmerican,Annie Hall,
1977,Actress in a Leading Role,Anne Bancroft,caucasianAmerican,The Turning Point,
1977,Actress in a Leading Role,Jane Fonda,caucasianAmerican,Julia,
1977,Actress in a Leading Role,Shirley MacLaine,caucasianAmerican,The Turning Point,
1977,Actress in a Leading Role,Marsha Mason,caucasianAmerican,The Goodbye Girl,
1978,Actress in a Leading Role,Jane Fonda,caucasianAmerican,Coming Home,
1978,Actress in a Leading Role,Ellen Burstyn,caucasianAmerican,"Same Time, Next Year",
1978,Actress in a Leading Role,Jill Clayburgh,caucasianAmerican,An Unmarried Woman,
1978,Actress in a Leading Role,Geraldine Page,caucasianAmerican,Interiors,
1979,Actress in a Leading Role,Sally Field,caucasianAmerican,Norma Rae,
1979,Actress in a Leading Role,Jill Clayburgh,caucasianAmerican,Starting Over,
1979,Actress in a Leading Role,Jane Fonda,caucasianAmerican,The China Syndrome,
1979,Actress in a Leading Role,Marsha Mason,caucasianAmerican,Chapter Two,
1979,Actress in a Leading Role,Bette Midler,caucasianAmerican,The Rose,
1980,Actress in a Leading Role,Sissy Spacek,caucasianAmerican,Coal Miner's Daughter,
1980,Actress in a Leading Role,Ellen Burstyn,caucasianAmerican,Resurrection,
1980,Actress in a Leading Role,Goldie Hawn,caucasianAmerican,Private Benjamin,
1980,Actress in a Leading Role,Mary Tyler Moore,caucasianAmerican,Ordinary People,
1980,Actress in a Leading Role,Gena Rowlands,caucasianAmerican,Gloria,
1981,Actress in a Leading Role,Katharine Hepburn,caucasianAmerican,On Golden Pond,
1981,Actress in a Leading Role,Diane Keaton,caucasianAmerican,Reds,
1981,Actress in a Leading Role,Marsha Mason,caucasianAmerican,Only When I Laugh,
1981,Actress in a Leading Role,Susan Sarandon,caucasianAmerican,Atlantic City,
1981,Actress in a Leading Role,Meryl Streep,caucasianAmerican,The French Lieutenant's Woman,
1982,Actress in a Leading Role,Meryl Streep,caucasianAmerican,Sophie's Choice,
1982,Actress in a Leading Role,Jessica Lange,caucasianAmerican,Frances,
1982,Actress in a Leading Role,Sissy Spacek,caucasianAmerican,Missing,
1982,Actress in a Leading Role,Debra Winger,caucasianAmerican,An Officer and a Gentleman,
1983,Actress in a Leading Role,Shirley MacLaine,caucasianAmerican,Terms of Endearment,
1983,Actress in a Leading Role,Jane Alexander,caucasianAmerican,Testament,
1983,Actress in a Leading Role,Meryl Streep,caucasianAmerican,Silkwood,
1983,Actress in a Leading Role,Debra Winger,caucasianAmerican,Terms of Endearment,
1984,Actress in a Leading Role,Sally Field,caucasianAmerican,Places in the Heart,
1984,Actress in a Leading Role,Jessica Lange,caucasianAmerican,Country,
1984,Actress in a Leading Role,Sissy Spacek,caucasianAmerican,The River,
1985,Actress in a Leading Role,Geraldine Page,caucasianAmerican,The Trip to Bountiful,
1985,Actress in a Leading Role,Anne Bancroft,caucasianAmerican,Agnes of God,
1985,Actress in a Leading Role,Jessica Lange,caucasianAmerican,Sweet Dreams,
1985,Actress in a Leading Role,Meryl Streep,caucasianAmerican,Out of Africa,
1986,Actress in a Leading Role,Marlee Matlin,caucasianAmerican,Children of a Lesser God,
1986,Actress in a Leading Role,Jane Fonda,caucasianAmerican,The Morning After,
1986,Actress in a Leading Role,Sissy Spacek,caucasianAmerican,Crimes of the Heart,
1986,Actress in a Leading Role,Kathleen Turner,caucasianAmerican,Peggy Sue Got Married,
1986,Actress in a Leading Role,Sigourney Weaver,caucasianAmerican,Aliens,
1987,Actress in a Leading Role,Cher,caucasianAmerican,Moonstruck,
1987,Actress in a Leading Role,Glenn Close,caucasianAmerican,Fatal Attraction,
1987,Actress in a Leading Role,Holly Hunter,caucasianAmerican,Broadcast News,
1987,Actress in a Leading Role,Sally Kirkland,caucasianAmerican,Anna,
1987,Actress in a Leading Role,Meryl Streep,caucasianAmerican,Ironweed,
1988,Actress in a Leading Role,Jodie Foster,caucasianAmerican,The Accused,
1988,Actress in a Leading Role,Glenn Close,caucasianAmerican,Dangerous Liaisons,
1988,Actress in a Leading Role,Melanie Griffith,caucasianAmerican,Working Girl,
1988,Actress in a Leading Role,Meryl Streep,caucasianAmerican,A Cry in the Dark,
1988,Actress in a Leading Role,Sigourney Weaver,caucasianAmerican,Gorillas in the Mist,
1989,Actress in a Leading Role,Jessica Lange,caucasianAmerican,Music Box,
1989,Actress in a Leading Role,Michelle Pfeiffer,caucasianAmerican,The Fabulous Baker Boys,
1990,Actress in a Leading Role,Kathy Bates,caucasianAmerican,Misery,
1990,Actress in a Leading Role,Anjelica Huston,caucasianAmerican,The Grifters,
1990,Actress in a Leading Role,Julia Roberts,caucasianAmerican,Pretty Woman,
1990,Actress in a Leading Role,Meryl Streep,caucasianAmerican,Postcards from the Edge,
1990,Actress in a Leading Role,Joanne Woodward,caucasianAmerican,Mr. & Mrs. Bridge,
1991,Actress in a Leading Role,Jodie Foster,caucasianAmerican,The Silence of the Lambs,
1991,Actress in a Leading Role,Geena Davis,caucasianAmerican,Thelma & Louise,
1991,Actress in a Leading Role,Laura Dern,caucasianAmerican,Rambling Rose,
1991,Actress in a Leading Role,Bette Midler,caucasianAmerican,For the Boys,
1991,Actress in a Leading Role,Susan Sarandon,caucasianAmerican,Thelma & Louise,
1992,Actress in a Leading Role,Mary McDonnell,caucasianAmerican,Passion Fish,
1992,Actress in a Leading Role,Michelle Pfeiffer,caucasianAmerican,Love Field,
1992,Actress in a Leading Role,Susan Sarandon,caucasianAmerican,Lorenzo's Oil,
1993,Actress in a Leading Role,Holly Hunter,caucasianAmerican,The Piano,
1993,Actress in a Leading Role,Stockard Channing,caucasianAmerican,Six Degrees of Separation,
1993,Actress in a Leading Role,Debra Winger,caucasianAmerican,Shadowlands,
1994,Actress in a Leading Role,Jessica Lange,caucasianAmerican,Blue Sky,
1994,Actress in a Leading Role,Jodie Foster,caucasianAmerican,Nell,
1994,Actress in a Leading Role,Winona Ryder,caucasianAmerican,Little Women,
1994,Actress in a Leading Role,Susan Sarandon,caucasianAmerican,The Client,
1995,Actress in a Leading Role,Susan Sarandon,caucasianAmerican,Dead Man Walking,
1995,Actress in a Leading Role,Elisabeth Shue,caucasianAmerican,Leaving Las Vegas,
1995,Actress in a Leading Role,Sharon Stone,caucasianAmerican,Casino,
1995,Actress in a Leading Role,Meryl Streep,caucasianAmerican,The Bridges of Madison County,
1996,Actress in a Leading Role,Frances McDormand,caucasianAmerican,Fargo,
1996,Actress in a Leading Role,Diane Keaton,caucasianAmerican,Marvin's Room,
1997,Actress in a Leading Role,Helen Hunt,caucasianAmerican,As Good as It Gets,
1998,Actress in a Leading Role,Gwyneth Paltrow,caucasianAmerican,Shakespeare in Love,
1998,Actress in a Leading Role,Meryl Streep,caucasianAmerican,One True Thing,
1999,Actress in a Leading Role,Annette Bening,caucasianAmerican,American Beauty,
1999,Actress in a Leading Role,Julianne Moore,caucasianAmerican,The End of the Affair,
1999,Actress in a Leading Role,Meryl Streep,caucasianAmerican,Music of the Heart,
2000,Actress in a Leading Role,Julia Roberts,caucasianAmerican,Erin Brockovich,
2000,Actress in a Leading Role,Joan Allen,caucasianAmerican,The Contender,
2000,Actress in a Leading Role,Ellen Burstyn,caucasianAmerican,Requiem for a Dream,
2000,Actress in a Leading Role,Laura Linney,caucasianAmerican,You Can Count On Me,
2001,Actress in a Leading Role,Sissy Spacek,caucasianAmerican,In the Bedroom,
2001,Actress in a Leading Role,Renée Zellweger,caucasianAmerican,Bridget Jones's Diary,
2002,Actress in a Leading Role,Diane Lane,caucasianAmerican,Unfaithful,
2002,Actress in a Leading Role,Julianne Moore,caucasianAmerican,Far from Heaven,
2002,Actress in a Leading Role,Renée Zellweger,caucasianAmerican,Chicago,
2003,Actress in a Leading Role,Diane Keaton,caucasianAmerican,Something's Gotta Give,
2004,Actress in a Leading Role,Annette Bening,caucasianAmerican,Being Julia,
2005,Actress in a Leading Role,Reese Witherspoon,caucasianAmerican,Walk the Line,
2005,Actress in a Leading Role,Felicity Huffman,caucasianAmerican,Transamerica,
2006,Actress in a Leading Role,Meryl Streep,caucasianAmerican,The Devil Wears Prada,
2007,Actress in a Leading Role,Laura Linney,caucasianAmerican,The Savages,
2008,Actress in a Leading Role,Anne Hathaway,caucasianAmerican,Rachel Getting Married,
2008,Actress in a Leading Role,Angelina Jolie,caucasianAmerican,Changeling,
2008,Actress in a Leading Role,Melissa Leo,caucasianAmerican,Frozen River,
2008,Actress in a Leading Role,Meryl Streep,caucasianAmerican,Doubt,
2009,Actress in a Leading Role,Sandra Bullock,caucasianAmerican,The Blind Side,
2009,Actress in a Leading Role,Meryl Streep,caucasianAmerican,Julie & Julia,
2010,Actress in a Leading Role,Natalie Portman,caucasianAmerican,Black Swan,
2010,Actress in a Leading Role,Annette Bening,caucasianAmerican,The Kids Are All Right,
2010,Actress in a Leading Role,Jennifer Lawrence,caucasianAmerican,Winter's Bone,
2010,Actress in a Leading Role,Michelle Williams,caucasianAmerican,Blue Valentine,
2011,Actress in a Leading Role,Meryl Streep,caucasianAmerican,The Iron Lady,
2011,Actress in a Leading Role,Glenn Close,caucasianAmerican,Albert Nobbs,
2011,Actress in a Leading Role,Rooney Mara,caucasianAmerican,The Girl with the Dragon Tattoo,
2011,Actress in a Leading Role,Michelle Williams,caucasianAmerican,My Week with Marilyn,
2012,Actress in a Leading Role,Jennifer Lawrence,caucasianAmerican,Silver Linings Playbook,
2012,Actress in a Leading Role,Jessica Chastain,caucasianAmerican,Zero Dark Thirty,
2013,Actress in a Leading Role,Amy Adams,caucasianAmerican,American Hustle,
2013,Actress in a Leading Role,Sandra Bullock,caucasianAmerican,Gravity,
2013,Actress in a Leading Role,Meryl Streep,caucasianAmerican,August: Osage County,
2014,Actress in a Leading Role,Julianne Moore,caucasianAmerican,Still Alice,
2014,Actress in a Leading Role,Reese Witherspoon,caucasianAmerican,Wild,
2015,Actress in a Leading Role,Brie Larson,caucasianAmerican,Room,
2015,Actress in a Leading Role,Jennifer Lawrence,caucasianAmerican,Joy,
2016,Actress in a Leading Role,Emma Stone,caucasianAmerican,La La Land,
2016,Actress in a Leading Role,Natalie Portman,caucasianAmerican,Jackie,
2016,Actress in a Leading Role,Meryl Streep,caucasianAmerican,Florence Foster Jenkins,
2017,Actress in a Leading Role,Frances McDormand,caucasianAmerican,"Three Billboards Outside Ebbing, Missouri",
2017,Actress in a Leading Role,Meryl Streep,caucasianAmerican,The Post,
2018,Actress in a Leading Role,Glenn Close,caucasianAmerican,The Wife,
2018,Actress in a Leading Role,Lady Gaga,caucasianAmerican,A Star Is Born,
2018,Actress in a Leading Role,Melissa McCarthy,caucasianAmerican,Can You Ever Forgive Me?,
1936,Actor in a Supporting Role,Walter Brennan,caucasianAmerican,Come and Get It,
1936,Actor in a Supporting Role,Stuart Erwin,caucasianAmerican,Pigskin Parade,
1937,Actor in a Supporting Role,Ralph Bellamy,caucasianAmerican,The Awful Truth,
1937,Actor in a Supporting Role,Thomas Mitchell,caucasianAmerican,The Hurricane,
1938,Actor in a Supporting Role,Walter Brennan,caucasianAmerican,Kentucky,
1938,Actor in a Supporting Role,John Garfield,caucasianAmerican,Four Daughters,
1939,Actor in a Supporting Role,Thomas Mitchell,caucasianAmerican,Stagecoach,
1939,Actor in a Supporting Role,Harry Carey,caucasianAmerican,Mr. Smith Goes to Washington,
1939,Actor in a Supporting Role,Brian Donlevy,caucasianAmerican,Beau Geste,
1940,Actor in a Supporting Role,Walter Brennan,caucasianAmerican,The Westerner,
1940,Actor in a Supporting Role,William Gargan,caucasianAmerican,They Knew What They Wanted,
1940,Actor in a Supporting Role,Jack Oakie,caucasianAmerican,The Great Dictator,
1941,Actor in a Supporting Role,Walter Brennan,caucasianAmerican,Sergeant York,
1941,Actor in a Supporting Role,Charles Coburn,caucasianAmerican,The Devil and Miss Jones,
1941,Actor in a Supporting Role,James Gleason,caucasianAmerican,Here Comes Mr. Jordan,
1942,Actor in a Supporting Role,Van Heflin,caucasianAmerican,Johnny Eager,
1942,Actor in a Supporting Role,William Bendix,caucasianAmerican,Wake Island,
1942,Actor in a Supporting Role,Frank Morgan,caucasianAmerican,Tortilla Flat,
1943,Actor in a Supporting Role,Charles Coburn,caucasianAmerican,The More the Merrier,
1943,Actor in a Supporting Role,Charles Bickford,caucasianAmerican,The Song of Bernadette,
1943,Actor in a Supporting Role,J. Carrol Naish,caucasianAmerican,Sahara,
1944,Actor in a Supporting Role,Clifton Webb,caucasianAmerican,Laura,
1944,Actor in a Supporting Role,Monty Woolley,caucasianAmerican,Since You Went Away,
1945,Actor in a Supporting Role,James Dunn,caucasianAmerican,A Tree Grows in Brooklyn,
1945,Actor in a Supporting Role,John Dall,caucasianAmerican,The Corn Is Green,
1945,Actor in a Supporting Role,Robert Mitchum,caucasianAmerican,G. I. Joe,
1945,Actor in a Supporting Role,J. Carrol Naish,caucasianAmerican,A Medal for Benny,
1946,Actor in a Supporting Role,Charles Coburn,caucasianAmerican,The Green Years,
1946,Actor in a Supporting Role,William Demarest,caucasianAmerican,The Jolson Story,
1946,Actor in a Supporting Role,Clifton Webb,caucasianAmerican,The Razor's Edge,
1947,Actor in a Supporting Role,Charles Bickford,caucasianAmerican,The Farmer's Daughter,
1947,Actor in a Supporting Role,Thomas Gomez,caucasianAmerican,Ride the Pink Horse,
1947,Actor in a Supporting Role,Robert Ryan,caucasianAmerican,Crossfire,
1947,Actor in a Supporting Role,Richard Widmark,caucasianAmerican,Kiss of Death,
1948,Actor in a Supporting Role,Charles Bickford,caucasianAmerican,Johnny Belinda,
1949,Actor in a Supporting Role,Dean Jagger,caucasianAmerican,Twelve O'Clock High,
1949,Actor in a Supporting Role,Arthur Kennedy,caucasianAmerican,Champion,
1949,Actor in a Supporting Role,James Whitmore,caucasianAmerican,Battleground,
1950,Actor in a Supporting Role,Jeff Chandler,caucasianAmerican,Broken Arrow,
1950,Actor in a Supporting Role,Sam Jaffe,caucasianAmerican,The Asphalt Jungle,
1951,Actor in a Supporting Role,Karl Malden,caucasianAmerican,A Streetcar Named Desire,
1951,Actor in a Supporting Role,Kevin McCarthy,caucasianAmerican,Death of a Salesman,
1951,Actor in a Supporting Role,Gig Young,caucasianAmerican,Come Fill the Cup,
1952,Actor in a Supporting Role,Arthur Hunnicutt,caucasianAmerican,The Big Sky,
1952,Actor in a Supporting Role,Jack Palance,caucasianAmerican,Sudden Fear,
1953,Actor in a Supporting Role,Frank Sinatra,caucasianAmerican,From Here to Eternity,
1953,Actor in a Supporting Role,Eddie Albert,caucasianAmerican,Roman Holiday,
1953,Actor in a Supporting Role,Brandon deWilde,caucasianAmerican,Shane,
1953,Actor in a Supporting Role,Robert Strauss,caucasianAmerican,Stalag 17,
1954,Actor in a Supporting Role,Edmond O'Brien,caucasianAmerican,The Barefoot Contessa,
1954,Actor in a Supporting Role,Lee J. Cobb,caucasianAmerican,On the Waterfront,
1954,Actor in a Supporting Role,Karl Malden,caucasianAmerican,On the Waterfront,
1954,Actor in a Supporting Role,Rod Steiger,caucasianAmerican,On the Waterfront,
1954,Actor in a Supporting Role,Tom Tully,caucasianAmerican,The Caine Mutiny,
1955,Actor in a Supporting Role,Jack Lemmon,caucasianAmerican,Mister Roberts,
1955,Actor in a Supporting Role,Arthur Kennedy,caucasianAmerican,Trial,
1955,Actor in a Supporting Role,Joe Mantell,caucasianAmerican,Marty,
1955,Actor in a Supporting Role,Arthur O'Connell,caucasianAmerican,Picnic,
1956,Actor in a Supporting Role,Don Murray,caucasianAmerican,Bus Stop,
1956,Actor in a Supporting Role,Anthony Perkins,caucasianAmerican,Friendly Persuasion,
1956,Actor in a Supporting Role,Mickey Rooney,caucasianAmerican,The Bold and the Brave,
1956,Actor in a Supporting Role,Robert Stack,caucasianAmerican,Written on the Wind,
1957,Actor in a Supporting Role,Red Buttons,caucasianAmerican,Sayonara,
1957,Actor in a Supporting Role,Arthur Kennedy,caucasianAmerican,Peyton Place,
1957,Actor in a Supporting Role,Russ Tamblyn,caucasianAmerican,Peyton Place,
1958,Actor in a Supporting Role,Burl Ives,caucasianAmerican,The Big Country,
1958,Actor in a Supporting Role,Lee J. Cobb,caucasianAmerican,The Brothers Karamazov,
1958,Actor in a Supporting Role,Arthur Kennedy,caucasianAmerican,Some Came Running,
1958,Actor in a Supporting Role,Gig Young,caucasianAmerican,Teacher's Pet,
1959,Actor in a Supporting Role,Arthur O'Connell,caucasianAmerican,Anatomy of a Murder,
1959,Actor in a Supporting Role,George C. Scott,caucasianAmerican,Anatomy of a Murder,
1959,Actor in a Supporting Role,Robert Vaughn,caucasianAmerican,The Young Philadelphians,
1959,Actor in a Supporting Role,Ed Wynn,caucasianAmerican,The Diary of Anne Frank,
1960,Actor in a Supporting Role,Peter Falk,caucasianAmerican,"Murder, Inc.",
1960,Actor in a Supporting Role,Chill Wills,caucasianAmerican,The Alamo,
1961,Actor in a Supporting Role,George Chakiris,caucasianAmerican,West Side Story,
1961,Actor in a Supporting Role,Montgomery Clift,caucasianAmerican,Judgment at Nuremberg,
1961,Actor in a Supporting Role,Peter Falk,caucasianAmerican,Pocketful of Miracles,
1961,Actor in a Supporting Role,Jackie Gleason,caucasianAmerican,The Hustler,
1961,Actor in a Supporting Role,George C. Scott,caucasianAmerican,The Hustler,
1962,Actor in a Supporting Role,Ed Begley,caucasianAmerican,Sweet Bird of Youth,
1962,Actor in a Supporting Role,Victor Buono,caucasianAmerican,What Ever Happened to Baby Jane?,
1962,Actor in a Supporting Role,Telly Savalas,caucasianAmerican,Birdman of Alcatraz,
1963,Actor in a Supporting Role,Melvyn Douglas,caucasianAmerican,Hud,
1963,Actor in a Supporting Role,Nick Adams,caucasianAmerican,Twilight of Honor,
1963,Actor in a Supporting Role,Bobby Darin,caucasianAmerican,"Captain Newman, M.D.",
1963,Actor in a Supporting Role,John Huston,caucasianAmerican,The Cardinal,
1964,Actor in a Supporting Role,Edmond O'Brien,caucasianAmerican,Seven Days in May,
1964,Actor in a Supporting Role,Lee Tracy,caucasianAmerican,The Best Man,
1965,Actor in a Supporting Role,Martin Balsam,caucasianAmerican,A Thousand Clowns,
1965,Actor in a Supporting Role,Michael Dunn,caucasianAmerican,Ship of Fools,
1966,Actor in a Supporting Role,Walter Matthau,caucasianAmerican,The Fortune Cookie,
1966,Actor in a Supporting Role,Mako,asianAmerican,The Sand Pebbles,
1966,Actor in a Supporting Role,George Segal,caucasianAmerican,Who's Afraid of Virginia Woolf?,
1967,Actor in a Supporting Role,George Kennedy,caucasianAmerican,Cool Hand Luke,
1967,Actor in a Supporting Role,Gene Hackman,caucasianAmerican,Bonnie and Clyde,
1967,Actor in a Supporting Role,Michael J. Pollard,caucasianAmerican,Bonnie and Clyde,
1968,Actor in a Supporting Role,Jack Albertson,caucasianAmerican,The Subject Was Roses,
1968,Actor in a Supporting Role,Seymour Cassel,caucasianAmerican,Faces,
1968,Actor in a Supporting Role,Gene Wilder,caucasianAmerican,The Producers,
1969,Actor in a Supporting Role,Gig Young,caucasianAmerican,"They Shoot Horses, Don't They?",
1969,Actor in a Supporting Role,Elliott Gould,caucasianAmerican,Bob & Carol & Ted & Alice,
1969,Actor in a Supporting Role,Jack Nicholson,caucasianAmerican,Easy Rider,
1970,Actor in a Supporting Role,Richard S. Castellano,caucasianAmerican,Lovers and Other Strangers,
1970,Actor in a Supporting Role,Gene Hackman,caucasianAmerican,I Never Sang for My Father,
1970,Actor in a Supporting Role,John Marley,caucasianAmerican,Love Story,
1971,Actor in a Supporting Role,Ben Johnson,caucasianAmerican,The Last Picture Show,
1971,Actor in a Supporting Role,Jeff Bridges,caucasianAmerican,The Last Picture Show,
1971,Actor in a Supporting Role,Leonard Frey,caucasianAmerican,Fiddler on the Roof,
1971,Actor in a Supporting Role,Richard Jaeckel,caucasianAmerican,Sometimes a Great Notion,
1971,Actor in a Supporting Role,Roy Scheider,caucasianAmerican,The French Connection,
1972,Actor in a Supporting Role,Joel Grey,caucasianAmerican,Cabaret,
1972,Actor in a Supporting Role,Eddie Albert,caucasianAmerican,The Heartbreak Kid,
1972,Actor in a Supporting Role,James Caan,caucasianAmerican,The Godfather,
1972,Actor in a Supporting Role,Robert Duvall,caucasianAmerican,The Godfather,
1972,Actor in a Supporting Role,Al Pacino,caucasianAmerican,The Godfather,
1973,Actor in a Supporting Role,Jack Gilford,caucasianAmerican,Save the Tiger,
1973,Actor in a Supporting Role,Jason Miller,caucasianAmerican,The Exorcist,
1973,Actor in a Supporting Role,Randy Quaid,caucasianAmerican,The Last Detail,
1974,Actor in a Supporting Role,Robert De Niro,caucasianAmerican,The Godfather Part II,
1974,Actor in a Supporting Role,Fred Astaire,caucasianAmerican,The Towering Inferno,
1974,Actor in a Supporting Role,Jeff Bridges,caucasianAmerican,Thunderbolt and Lightfoot,
1974,Actor in a Supporting Role,Michael V. Gazzo,caucasianAmerican,The Godfather Part II,
1975,Actor in a Supporting Role,George Burns,caucasianAmerican,The Sunshine Boys,
1975,Actor in a Supporting Role,Brad Dourif,caucasianAmerican,One Flew Over the Cuckoo's Nest,
1975,Actor in a Supporting Role,Burgess Meredith,caucasianAmerican,The Day of the Locust,
1975,Actor in a Supporting Role,Chris Sarandon,caucasianAmerican,Dog Day Afternoon,
1975,Actor in a Supporting Role,Jack Warden,caucasianAmerican,Shampoo,
1976,Actor in a Supporting Role,Jason Robards,caucasianAmerican,All the President's Men,
1976,Actor in a Supporting Role,Ned Beatty,caucasianAmerican,Network,
1976,Actor in a Supporting Role,Burgess Meredith,caucasianAmerican,Rocky,
1976,Actor in a Supporting Role,Burt Young,caucasianAmerican,Rocky,
1977,Actor in a Supporting Role,Jason Robards,caucasianAmerican,Julia,
1978,Actor in a Supporting Role,Christopher Walken,caucasianAmerican,The Deer Hunter,
1978,Actor in a Supporting Role,Bruce Dern,caucasianAmerican,Coming Home,
